product_id,category,brand,option,r,g,b,L,a,b,hex,case_type,timestamp
TEMP473586,liptint,3CE,헤이지로즈,177,78,81,13.8502,40.6184,18.2407,#B14E51,A_normal,2025-11-25 11:49:52
TEMP731733,liptint,네이밍,ANN안,235,130,134,19.8068,40.573,15.8916,#EB8286,A_normal,2025-11-25 11:49:52
TEMP556780,liptint,네이밍,BREVITY브레버티,202,153,131,20.1786,15.3246,18.6761,#CA9983,A_normal,2025-11-25 11:49:52
TEMP121298,liptint,네이밍,FURTIVE퍼티브,189,95,113,15.6181,39.5672,7.5002,#BD5F71,A_normal,2025-11-25 11:49:52
TEMP784735,liptint,네이밍,KNELL넬,212,140,124,19.539,25.5227,19.8243,#D48C7C,A_normal,2025-11-25 11:49:52
TEMP417479,liptint,네이밍,MANDY맨디,160,79,72,13.0677,32.8582,19.7339,#A04F48,A_normal,2025-11-25 11:49:52
TEMP246415,liptint,네이밍,RIZZ리즈,203,107,111,16.9348,38.2767,15.1221,#CB6B6F,A_normal,2025-11-25 11:49:52
TEMP330528,liptint,네이밍,TENZE텐즈,161,74,84,12.8816,37.0099,11.5952,#A14A54,A_normal,2025-11-25 11:49:52
TEMP177174,liptint,네이밍,UPTICK업틱,239,112,102,18.7278,48.1367,29.1837,#EF7066,A_normal,2025-11-25 11:49:52
TEMP788446,liptint,노노어,001캐시미어로즈,187,102,109,15.9419,34.7024,11.3518,#BB666D,A_normal,2025-11-25 11:49:52
TEMP460470,liptint,노노어,002스웨이드로지브라운,158,103,98,14.7952,21.4781,11.9511,#9E6762,A_normal,2025-11-25 11:49:52
TEMP421723,liptint,노노어,003쉬폰피치에코,206,103,89,16.6894,39.4745,26.8138,#CE6759,A_normal,2025-11-25 11:49:52
TEMP014211,liptint,노노어,005프린지레드우드,175,102,95,15.3612,28.5251,16.6684,#AF665F,A_normal,2025-11-25 11:49:52
TEMP529891,liptint,노노어,006베일드피오니핑크,217,130,127,19.0653,33.1402,16.0613,#D9827F,A_normal,2025-11-25 11:49:52
TEMP379237,liptint,노노어,007슬릿페일피치,216,156,141,20.9052,20.4171,16.7269,#D89C8D,A_normal,2025-11-25 11:49:52
TEMP663784,liptint,노노어,008타프타피치더스트,218,183,163,23.0796,9.5665,14.8684,#DAB7A3,A_normal,2025-11-25 11:49:52
TEMP962523,liptint,노노어,101코트어스터치,106,72,59,10.2044,12.7451,13.6379,#6A483B,A_normal,2025-11-25 11:49:52
TEMP612340,liptint,노노어,102실루엣샌드,151,132,118,16.943,4.8696,10.213,#978476,A_normal,2025-11-25 11:49:52
TEMP725218,liptint,디어달리아,누디베이지아리아나,211,130,116,18.7721,29.6649,20.8137,#D38274,A_normal,2025-11-25 11:49:52
TEMP974960,liptint,디어달리아,뉴트럴로즈페이,200,110,114,17.0196,35.9016,13.7071,#C86E72,A_normal,2025-11-25 11:49:52
TEMP867051,liptint,디어달리아,로지오렌지시에나,227,101,93,17.5338,48.4568,28.78,#E3655D,A_normal,2025-11-25 11:49:52
TEMP365647,liptint,디어달리아,브라이트핑크크리스틴,229,79,106,16.6126,59.7622,17.209,#E54F6A,A_normal,2025-11-25 11:49:52
TEMP304589,liptint,디어달리아,소프트핑크에린,226,115,109,18.3762,42.5054,23.3387,#E2736D,A_normal,2025-11-25 11:49:52
TEMP353199,liptint,디어달리아,체리레드샬롯,219,16,17,13.8839,70.098,54.9273,#DB1011,A_normal,2025-11-25 11:49:52
TEMP890667,liptint,디어달리아,쿨핑크키이라,235,102,154,18.3667,56.3994,-2.4055,#EB669A,A_normal,2025-11-25 11:49:52
TEMP759874,liptint,디어달리아,피치코랄엘라,226,115,109,18.3762,42.5054,23.3387,#E2736D,A_normal,2025-11-25 11:49:52
TEMP155703,liptint,디어달리아,다이애나,136,70,81,11.465,29.2885,6.2757,#884651,A_normal,2025-11-25 11:49:52
TEMP111124,liptint,디어달리아,루나,223,123,109,18.7427,37.3008,24.8921,#DF7B6D,A_normal,2025-11-25 11:49:52
TEMP608916,liptint,디어달리아,에밀리,229,91,91,17.0935,53.6056,28.0986,#E55B5B,A_normal,2025-11-25 11:49:52
TEMP313177,liptint,디어달리아,이사벨라,219,132,138,19.3453,34.0848,11.1752,#DB848A,A_normal,2025-11-25 11:49:52
TEMP929986,liptint,디어달리아,카일리,204,79,101,15.3361,51.3059,13.673,#CC4F65,A_normal,2025-11-25 11:49:52
TEMP877106,liptint,디어달리아,클로이,179,31,38,11.7246,57.1325,35.4021,#B31F26,A_normal,2025-11-25 11:49:52
TEMP622242,liptint,디어달리아,펠리시아,157,63,72,11.9711,39.9348,14.7595,#9D3F48,A_normal,2025-11-25 11:49:52
TEMP126779,liptint,디어달리아,헤이즐,232,107,109,18.1761,48.5927,22.5984,#E86B6D,A_normal,2025-11-25 11:49:52
TEMP049166,liptint,롬앤,01더스티핑크,165,77,87,13.2687,37.2526,11.6406,#A54D57,A_normal,2025-11-25 11:49:52
TEMP419065,liptint,롬앤,02올댓재즈,169,51,43,11.8639,47.6228,32.4382,#A9332B,A_normal,2025-11-25 11:49:52
TEMP178780,liptint,롬앤,03실루엣,147,52,52,10.7424,40.0015,21.5531,#933434,A_normal,2025-11-25 11:49:52
TEMP358049,liptint,롬앤,04비포선셋,175,68,79,13.1901,44.5552,16.4399,#AF444F,A_normal,2025-11-25 11:49:52
TEMP332258,liptint,롬앤,05이브닝,152,59,48,11.3628,38.2636,26.7549,#983B30,A_normal,2025-11-25 11:49:52
TEMP220204,liptint,롬앤,06어썸,220,87,81,16.4069,51.6653,30.6368,#DC5751,A_normal,2025-11-25 11:49:52
TEMP772648,liptint,롬앤,07엔비미,206,98,98,16.4418,42.7379,20.5249,#CE6262,A_normal,2025-11-25 11:49:52
TEMP136109,liptint,롬앤,08어도러블,226,93,88,17.0366,51.48,29.4801,#E25D58,A_normal,2025-11-25 11:49:52
TEMP524383,liptint,롬앤,09쉘누드,235,139,122,20.3034,34.7321,24.8567,#EB8B7A,A_normal,2025-11-25 11:49:52
TEMP309310,liptint,롬앤,10핑크샌드,200,103,111,16.562,39.2373,13.3339,#C8676F,A_normal,2025-11-25 11:49:52
TEMP017487,liptint,롬앤,11선라이트,213,31,70,13.9227,67.7542,26.4658,#D51F46,A_normal,2025-11-25 11:49:52
TEMP825932,liptint,롬앤,12썸띵,213,45,66,14.2565,64.2145,30.2633,#D52D42,A_normal,2025-11-25 11:49:52
TEMP490479,liptint,롬앤,13레드카펫,160,24,42,10.3778,53.5832,26.8988,#A0182A,A_normal,2025-11-25 11:49:52
TEMP349292,liptint,롬앤,14스윗피,184,49,74,12.7766,54.9384,17.9525,#B8314A,A_normal,2025-11-25 11:49:52
TEMP550173,liptint,롬앤,15미드나잇,129,35,47,8.8809,40.7949,16.1068,#81232F,A_normal,2025-11-25 11:49:52
TEMP457715,liptint,롬앤,16대즐레드,209,49,39,14.054,60.8573,44.6035,#D13127,A_normal,2025-11-25 11:49:52
TEMP831022,liptint,롬앤,17레드히트,184,35,51,12.1888,58.0251,29.673,#B82333,A_normal,2025-11-25 11:49:52
TEMP745820,liptint,롬앤,18태닝레드,171,40,45,11.5483,52.3959,30.1604,#AB282D,A_normal,2025-11-25 11:49:52
TEMP716047,liptint,롬앤,19레드서퍼,195,15,56,12.4752,65.1347,28.29,#C30F38,A_normal,2025-11-25 11:49:52
TEMP377713,liptint,롬앤,20레드다이브,142,20,41,9.1294,49.3451,21.6361,#8E1429,A_normal,2025-11-25 11:49:52
TEMP188187,liptint,롬앤,21스모크드베이지,187,112,99,16.5391,28.2255,19.9263,#BB7063,A_normal,2025-11-25 11:49:52
TEMP625999,liptint,롬앤,22모브빈즈,179,103,115,15.7274,31.856,6.6466,#B36773,A_normal,2025-11-25 11:49:52
TEMP301622,liptint,맥,디보티드투데인저,205,26,30,13.1903,65.1906,46.2679,#CD1A1E,A_normal,2025-11-25 11:49:52
TEMP500546,liptint,맥,루비뉴,198,10,41,12.5473,65.907,37.753,#C60A29,A_normal,2025-11-25 11:49:52
TEMP712843,liptint,맥,멀잇오버,186,95,79,15.2729,35.1481,25.9063,#BA5F4F,A_normal,2025-11-25 11:49:52
TEMP393204,liptint,맥,스윗시나몬,180,68,58,13.3324,44.8593,29.8679,#B4443A,A_normal,2025-11-25 11:49:52
TEMP537354,liptint,맥,스테이큐리어스,179,69,78,13.4373,45.4079,18.2748,#B3454E,A_normal,2025-11-25 11:49:52
TEMP637864,liptint,맥,진저렐라,209,91,88,16.1269,46.4335,25.0435,#D15B58,A_normal,2025-11-25 11:49:52
TEMP736620,liptint,맥,핫파프리카,252,72,51,17.2896,66.649,51.699,#FC4833,A_normal,2025-11-25 11:49:52
TEMP212515,liptint,바닐라코,누드로즈,211,138,135,19.4358,27.4964,13.155,#D38A87,A_normal,2025-11-25 11:49:52
TEMP163737,liptint,바닐라코,누드베이지,220,148,137,20.4514,25.7959,16.9121,#DC9489,A_normal,2025-11-25 11:49:52
TEMP524550,liptint,바닐라코,발레리나,232,121,109,18.9878,41.6985,26.1972,#E8796D,A_normal,2025-11-25 11:49:52
TEMP868448,liptint,바닐라코,살몬누드,208,153,134,20.3876,18.0612,18.0756,#D09986,A_normal,2025-11-25 11:49:52
TEMP251055,liptint,바닐라코,코랄슈,228,140,126,20.129,31.9281,21.7052,#E48C7E,A_normal,2025-11-25 11:49:52
TEMP626952,liptint,바닐라코,핑크슈,213,127,134,18.7648,34.03,10.6078,#D57F86,A_normal,2025-11-25 11:49:52
TEMP840586,liptint,에스쁘아,10호피치라이즈,212,102,107,16.9947,43.7269,17.9282,#D4666B,A_normal,2025-11-25 11:49:52
TEMP264801,liptint,에스쁘아,11호그레이피,189,20,65,12.2226,63.3115,21.3442,#BD1441,A_normal,2025-11-25 11:49:52
TEMP487659,liptint,에스쁘아,15호피치듀,231,108,104,18.1596,47.3551,25.3529,#E76C68,A_normal,2025-11-25 11:49:52
TEMP559842,liptint,에스쁘아,16호피치바이브,235,74,90,16.615,62.4521,26.8199,#EB4A5A,A_normal,2025-11-25 11:49:52
TEMP510348,liptint,에스쁘아,1호포그모브,199,64,89,14.3001,55.0338,16.0393,#C74059,A_normal,2025-11-25 11:49:52
TEMP799453,liptint,에스쁘아,2호베리코어,254,6,33,15.9887,79.7709,56.6,#FE0621,A_normal,2025-11-25 11:49:52
TEMP736483,liptint,에스쁘아,2호카인다핑크,228,113,135,18.5112,46.7372,9.1171,#E47187,A_normal,2025-11-25 11:49:52
TEMP235436,liptint,에스쁘아,3호크랜베리,211,4,47,13.3323,69.8734,37.8611,#D3042F,A_normal,2025-11-25 11:49:52
TEMP521480,liptint,에스쁘아,3호푸시안,244,45,111,16.2916,75.1171,13.1708,#F42D6F,A_normal,2025-11-25 11:49:52
TEMP806758,liptint,에스쁘아,4호레디셋고,236,30,64,15.2542,73.5801,36.4991,#EC1E40,A_normal,2025-11-25 11:49:52
TEMP920959,liptint,에스쁘아,4호헤이베스티,253,71,138,17.756,72.2914,4.292,#FD478A,A_normal,2025-11-25 11:49:52
TEMP903802,liptint,에스쁘아,5호로지퍼지,216,100,105,17.0455,45.9655,19.4191,#D86469,A_normal,2025-11-25 11:49:52
TEMP019391,liptint,에스쁘아,5호블루베리,192,76,115,14.7081,50.0842,2.0026,#C04C73,A_normal,2025-11-25 11:49:52
TEMP930597,liptint,에스쁘아,6호뉴로즈,241,119,140,19.4393,48.8209,10.8946,#F1778C,A_normal,2025-11-25 11:49:52
TEMP381339,liptint,에스쁘아,6호코랄커드,251,85,97,17.9328,63.6359,28.9711,#FB5561,A_normal,2025-11-25 11:49:52
TEMP249367,liptint,에스쁘아,7호애쉬메이플,213,105,97,17.1565,41.7238,24.4568,#D56961,A_normal,2025-11-25 11:49:52
TEMP517994,liptint,에스쁘아,7호탠지버터,241,118,85,19.0816,44.8234,40.0684,#F17655,A_normal,2025-11-25 11:49:52
TEMP359533,liptint,에스쁘아,8호애쉬코코아,123,53,46,9.5117,29.9056,19.2501,#7B352E,A_normal,2025-11-25 11:49:52
TEMP846626,liptint,에스쁘아,9호퍼시몬,212,28,32,13.6641,66.732,47.1964,#D41C20,A_normal,2025-11-25 11:49:52
TEMP073166,liptint,에스쁘아,디즈니13호비트라일락,189,13,59,12.0866,64.0079,24.5446,#BD0D3B,A_normal,2025-11-25 11:49:52
TEMP021173,liptint,에스쁘아,디즈니14호스웨이코랄,225,73,78,15.9918,59.0072,30.8213,#E1494E,A_normal,2025-11-25 11:49:52
TEMP217263,liptint,에스쁘아,메리베리에디션18호누디베리,180,92,81,14.8322,34.5554,22.6631,#B45C51,A_normal,2025-11-25 11:49:52
TEMP231564,liptint,에스쁘아,메리베리에디션19호메리베리,153,49,69,11.0233,44.707,12.2283,#993145,A_normal,2025-11-25 11:49:52
TEMP932638,liptint,에스쁘아,메리베리에디션2호베리코어,254,6,33,15.9887,79.7709,56.6,#FE0621,A_normal,2025-11-25 11:49:52
TEMP345710,liptint,에크멀,01피더리핑크,239,180,188,23.6477,22.5434,4.3136,#EFB4BC,A_normal,2025-11-25 11:49:52
TEMP158802,liptint,에크멀,02플러피코랄,236,195,185,24.6114,13.0591,10.4998,#ECC3B9,A_normal,2025-11-25 11:49:52
TEMP927985,liptint,에크멀,03멜로우베이지,211,191,171,23.5476,3.8479,12.6659,#D3BFAB,A_normal,2025-11-25 11:49:52
TEMP859433,liptint,에크멀,04미스티모즈,222,168,175,22.1862,20.8507,4.1414,#DEA8AF,A_normal,2025-11-25 11:49:52
TEMP655932,liptint,에크멀,05멜란지브라운,202,163,150,21.0433,12.4048,12.1919,#CAA396,A_normal,2025-11-25 11:49:52
TEMP623813,liptint,웨이크메이크,01러브피버,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP136515,liptint,웨이크메이크,01피치샤워,241,239,238,28.3714,0.4893,0.7222,#F1EFEE,A_normal,2025-11-25 11:49:52
TEMP462202,liptint,웨이크메이크,02밀크애프리콧,244,242,242,28.6927,0.6631,0.2396,#F4F2F2,A_normal,2025-11-25 11:49:52
TEMP643043,liptint,웨이크메이크,02스윗챗,241,239,238,28.3714,0.4893,0.7222,#F1EFEE,A_normal,2025-11-25 11:49:52
TEMP906413,liptint,웨이크메이크,03샤이유스,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP705327,liptint,웨이크메이크,03애플피즈,241,239,239,28.3789,0.6648,0.2401,#F1EFEF,A_normal,2025-11-25 11:49:52
TEMP745956,liptint,웨이크메이크,04아몬드누드,240,239,238,28.3489,0.1549,0.6041,#F0EFEE,A_normal,2025-11-25 11:49:52
TEMP254793,liptint,웨이크메이크,04피치베베,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP007658,liptint,웨이크메이크,05로지냅,241,239,238,28.3714,0.4893,0.7222,#F1EFEE,A_normal,2025-11-25 11:49:52
TEMP261475,liptint,웨이크메이크,05블러쉬드핑크,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP889925,liptint,웨이크메이크,06니트,245,243,243,28.7971,0.6626,0.2394,#F5F3F3,A_normal,2025-11-25 11:49:52
TEMP405390,liptint,웨이크메이크,06무디핑크,241,239,238,28.3714,0.4893,0.7222,#F1EFEE,A_normal,2025-11-25 11:49:52
TEMP192078,liptint,웨이크메이크,07베리플러쉬,241,239,239,28.3789,0.6648,0.2401,#F1EFEF,A_normal,2025-11-25 11:49:52
TEMP510459,liptint,웨이크메이크,07허쉬모브,243,243,242,28.745,-0.1786,0.4851,#F3F3F2,A_normal,2025-11-25 11:49:52
TEMP441572,liptint,웨이크메이크,08메이플코랄,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP374113,liptint,웨이크메이크,08프레시핑크,241,239,239,28.3789,0.6648,0.2401,#F1EFEF,A_normal,2025-11-25 11:49:52
TEMP040160,liptint,웨이크메이크,09모브브리스,240,238,239,28.2817,0.8416,-0.242,#F0EEEF,A_normal,2025-11-25 11:49:52
TEMP437833,liptint,웨이크메이크,09힙베리,245,243,243,28.7971,0.6626,0.2394,#F5F3F3,A_normal,2025-11-25 11:49:52
TEMP510609,liptint,웨이크메이크,10클리어레드,244,242,243,28.7002,0.8389,-0.2412,#F4F2F3,A_normal,2025-11-25 11:49:52
TEMP977973,liptint,웨이크메이크,10피그레드,241,239,239,28.3789,0.6648,0.2401,#F1EFEF,A_normal,2025-11-25 11:49:52
TEMP479939,liptint,웨이크메이크,11로즈뱅,244,243,243,28.7748,0.3299,0.1217,#F4F3F3,A_normal,2025-11-25 11:49:52
TEMP171122,liptint,웨이크메이크,재입고13볼드누드,138,94,86,13.3049,16.8892,11.8492,#8A5E56,A_normal,2025-11-25 11:49:52
TEMP798443,liptint,웨이크메이크,재입고14와일드토프,95,57,53,8.5272,16.3415,9.6023,#5F3935,A_normal,2025-11-25 11:49:52
TEMP528564,liptint,컬러그램,01웜피치,194,115,111,17.0878,30.614,15.6386,#C2736F,A_normal,2025-11-25 11:49:52
TEMP934803,liptint,컬러그램,02쿨핑크,188,120,120,17.2628,26.6106,11.1375,#BC7878,A_normal,2025-11-25 11:49:52
TEMP927200,liptint,컬러그램,03누디피치,218,131,118,19.1138,32.0446,21.3791,#DA8376,A_normal,2025-11-25 11:49:52
TEMP535147,liptint,컬러그램,05쿨로즈,195,123,135,17.8357,29.5802,5.3171,#C37B87,A_normal,2025-11-25 11:49:52
TEMP783994,liptint,컬러그램,06누디로즈,202,139,141,19.2354,24.2871,8.6774,#CA8B8D,A_normal,2025-11-25 11:49:52
TEMP213838,liptint,클리오,01꿀복숭아,254,216,217,26.8452,13.3493,4.4308,#FED8D9,A_normal,2025-11-25 11:49:52
TEMP679533,liptint,클리오,03꿀앵두,246,48,89,16.3454,73.5791,26.6406,#F63059,A_normal,2025-11-25 11:49:52
TEMP973619,liptint,클리오,04꿀사과,213,64,72,14.952,58.3198,29.5577,#D54048,A_normal,2025-11-25 11:49:52
TEMP726328,liptint,클리오,06꿀무화과,218,96,83,16.7962,46.9288,31.0551,#DA6053,A_normal,2025-11-25 11:49:52
TEMP768723,liptint,클리오,앨리스07뮤즈로즈,190,72,84,14.1805,48.31,18.2736,#BE4854,A_normal,2025-11-25 11:49:52
TEMP073790,liptint,클리오,앨리스08루시드모브,193,79,122,14.9709,49.8218,-0.9215,#C14F7A,A_normal,2025-11-25 11:49:52
TEMP694912,liptint,클리오,앨리스09헤일로핑크,238,97,152,18.234,59.3375,-1.8466,#EE6198,A_normal,2025-11-25 11:49:52
TEMP802856,liptint,팁토우,001토슈즈,247,138,138,20.7961,41.2735,18.4574,#F78A8A,A_normal,2025-11-25 11:49:52
TEMP737247,liptint,팁토우,002모란,240,120,105,19.2442,44.8254,29.7635,#F07869,A_normal,2025-11-25 11:49:52
TEMP467593,liptint,팁토우,003스트로베리,252,84,83,17.876,63.5493,36.729,#FC5453,A_normal,2025-11-25 11:49:52
TEMP514463,liptint,팁토우,004플럼시럽,195,71,80,14.3605,50.1472,21.6345,#C34750,A_normal,2025-11-25 11:49:52
TEMP853410,liptint,팁토우,006로지스텝,243,117,123,19.2997,48.8504,19.9581,#F3757B,A_normal,2025-11-25 11:49:52
TEMP133318,liptint,팁토우,007플랫헤이즐,242,130,121,20.0081,41.885,24.2531,#F28279,A_normal,2025-11-25 11:49:52
TEMP363996,liptint,팁토우,008피치포인,252,176,176,23.6924,27.7447,11.2063,#FCB0B0,A_normal,2025-11-25 11:49:52
TEMP021109,liptint,팁토우,009베리슈즈,243,182,197,23.9768,24.2541,1.0851,#F3B6C5,A_normal,2025-11-25 11:49:52
TEMP146695,liptint,팁토우,010모브위스퍼,250,150,164,21.8322,39.0812,8.9183,#FA96A4,A_normal,2025-11-25 11:49:52
TEMP869159,liptint,팁토우,011텐더무드,251,188,185,24.5485,22.259,10.3993,#FBBCB9,A_normal,2025-11-25 11:49:52
TEMP918207,liptint,팁토우,NEW012히더잼,220,135,157,19.7202,35.2654,2.2286,#DC879D,A_normal,2025-11-25 11:49:52
TEMP895041,liptint,팁토우,NEW013보늬밤라떼,230,142,129,20.3525,31.9446,21.092,#E68E81,A_normal,2025-11-25 11:49:52
TEMP213671,liptint,팁토우,NEW014로즈우드,200,95,88,15.9411,41.1954,23.9728,#C85F58,A_normal,2025-11-25 11:49:52
TEMP733787,liptint,팁토우,NEW015블러디베리,195,67,86,14.2065,52.3016,17.3234,#C34356,A_normal,2025-11-25 11:49:52
TEMP007445,liptint,하트퍼센트,01누디베이지,198,164,134,20.9005,8.1244,20.2642,#C6A486,A_normal,2025-11-25 11:49:52
TEMP669404,liptint,하트퍼센트,02핑크무스,189,121,119,17.362,26.325,12.1965,#BD7977,A_normal,2025-11-25 11:49:52
TEMP098604,liptint,하트퍼센트,03로즈코튼,210,155,150,20.7009,19.8251,10.6931,#D29B96,A_normal,2025-11-25 11:49:52
TEMP096598,liptint,하트퍼센트,04코지핑크,206,144,147,19.7659,23.8895,7.8767,#CE9093,A_normal,2025-11-25 11:49:52
TEMP472717,liptint,하트퍼센트,단품05뉴트럴그레이,170,154,136,19.3536,2.8776,11.5953,#AA9A88,A_normal,2025-11-25 11:49:52
TEMP036455,liptint,하트퍼센트,단품06뮤트피치,190,123,100,17.4213,23.4899,23.3562,#BE7B64,A_normal,2025-11-25 11:49:52
TEMP475502,liptint,하트퍼센트,일반립펜슬01피치베이지,214,143,125,19.8234,24.7946,20.5983,#D68F7D,A_normal,2025-11-25 11:49:52
TEMP469804,liptint,하트퍼센트,일반립펜슬03오트베이지,185,149,128,19.3376,10.3841,16.2018,#B99580,A_normal,2025-11-25 11:49:52
TEMP359293,liptint,하트퍼센트,일반립펜슬04스트로베리밀크,240,163,194,22.5639,32.8071,-4.2197,#F0A3C2,A_normal,2025-11-25 11:49:52
TEMP423307,liptint,하트퍼센트,일반립펜슬05애프리콧코랄,248,161,152,22.3939,31.2392,18.12,#F8A198,A_normal,2025-11-25 11:49:52
TEMP632437,liptint,하트퍼센트,일반립펜슬06로즈베이지,206,139,132,19.3102,24.6641,14.1733,#CE8B84,A_normal,2025-11-25 11:49:52
TEMP953610,liptint,하트퍼센트,일반립펜슬07드라이로즈,196,126,120,17.971,26.4293,14.5827,#C47E78,A_normal,2025-11-25 11:49:52
TEMP113135,liptint,하트퍼센트,일반립펜슬08클라우디모브,175,125,136,17.2852,21.0492,1.7929,#AF7D88,A_normal,2025-11-25 11:49:52
TEMP219578,liptint,하트퍼센트,일반립펜슬09코지브라운,170,130,110,17.3077,12.5596,16.7751,#AA826E,A_normal,2025-11-25 11:49:52
TEMP618620,liptint,하트퍼센트,일반립펜슬10클린베이지,233,202,173,24.9669,6.5693,18.5178,#E9CAAD,A_normal,2025-11-25 11:49:52
TEMP467186,liptint,하트퍼센트,일반립펜슬12카라멜베이지,203,148,124,19.8024,17.6107,20.8543,#CB947C,A_normal,2025-11-25 11:49:52
TEMP336051,liptint,하트퍼센트,일반립펜슬13베어립스,196,126,119,17.9644,26.3116,15.1238,#C47E77,A_normal,2025-11-25 11:49:52
TEMP760418,liptint,하트퍼센트,일반립펜슬14캄핑크,221,157,172,21.3575,25.9682,1.7786,#DD9DAC,A_normal,2025-11-25 11:49:52
TEMP550176,liptint,하트퍼센트,일반립펜슬15모브립스,182,111,115,16.383,28.6216,9.803,#B66F73,A_normal,2025-11-25 11:49:52
TEMP612342,liptint,하트퍼센트,일반립펜슬16브릭로즈,171,97,93,14.8487,29.4767,15.4273,#AB615D,A_normal,2025-11-25 11:49:52
TEMP762451,liptint,하트퍼센트,일반립펜슬17토프베이지,177,151,133,19.2907,6.8165,13.0717,#B19785,A_normal,2025-11-25 11:49:52
