product_id,case_type,category,brand,option,r,g,b,L,a,b,hex,timestamp
A20251125134527162023,A_normal,liptint,노노어,102실루엣샌드,142,123,109,40,134,139,#8E7B6D,2025-11-25 13:45:28
A20251125134528796607,A_normal,liptint,디어달리아,누디베이지아리아나,222,165,155,55,149,142,#DEA59B,2025-11-25 13:45:28
A20251125134528139154,A_normal,liptint,디어달리아,뉴트럴로즈페이,214,151,153,52,153,137,#D69799,2025-11-25 13:45:28
A20251125134528192650,A_normal,liptint,디어달리아,로지오렌지시에나,232,141,135,52,163,147,#E88D87,2025-11-25 13:45:28
A20251125134528228559,A_normal,liptint,디어달리아,브라이트핑크크리스틴,237,137,155,52,168,136,#ED899B,2025-11-25 13:45:28
A20251125134528282623,A_normal,liptint,디어달리아,소프트핑크에린,232,152,147,54,158,144,#E89893,2025-11-25 13:45:28
A20251125134528989748,A_normal,liptint,디어달리아,체리레드샬롯,226,82,83,42,185,159,#E25253,2025-11-25 13:45:28
A20251125134528236089,A_normal,liptint,디어달리아,쿨핑크키이라,241,153,188,56,165,124,#F199BC,2025-11-25 13:45:28
A20251125134529129999,A_normal,liptint,디어달리아,피치코랄엘라,232,152,147,54,158,144,#E89893,2025-11-25 13:45:29
A20251125134529112444,A_normal,liptint,디어달리아,나타샤,165,36,56,28,181,151,#A52438,2025-11-25 13:45:29
A20251125134529667590,A_normal,liptint,디어달리아,다이애나,213,192,195,60,136,129,#D5C0C3,2025-11-25 13:45:29
A20251125134529992399,A_normal,liptint,디어달리아,루나,242,210,206,66,139,134,#F2D2CE,2025-11-25 13:45:29
A20251125134529324568,A_normal,liptint,디어달리아,소피,138,73,69,30,156,143,#8A4945,2025-11-25 13:45:29
A20251125134529255212,A_normal,liptint,디어달리아,앰버,146,83,62,32,153,152,#92533E,2025-11-25 13:45:29
A20251125134529207384,A_normal,liptint,디어달리아,에밀리,244,202,202,65,143,134,#F4CACA,2025-11-25 13:45:29
A20251125134529300348,A_normal,liptint,디어달리아,이사벨라,241,214,215,67,138,131,#F1D6D7,2025-11-25 13:45:29
A20251125134529862415,A_normal,liptint,디어달리아,카밀라,120,51,42,23,158,149,#78332A,2025-11-25 13:45:29
A20251125134529717401,A_normal,liptint,디어달리아,카일리,233,189,197,61,145,130,#E9BDC5,2025-11-25 13:45:29
A20251125134529224814,A_normal,liptint,디어달리아,클로이,219,173,176,57,146,133,#DBADB0,2025-11-25 13:45:29
A20251125134529498807,A_normal,liptint,디어달리아,펠리시아,214,179,182,58,141,131,#D6B3B6,2025-11-25 13:45:29
A20251125134529193796,A_normal,liptint,디어달리아,헤이즐,244,200,201,64,144,134,#F4C8C9,2025-11-25 13:45:29
A20251125134529799191,A_normal,liptint,라카,401로우핑크,179,97,95,39,162,145,#B3615F,2025-11-25 13:45:30
A20251125134530990770,A_normal,liptint,라카,402투로즈,154,79,85,33,160,140,#9A4F55,2025-11-25 13:45:30
A20251125134530900640,A_normal,liptint,라카,403피그사운즈,161,92,91,36,157,142,#A15C5B,2025-11-25 13:45:30
A20251125134530615105,A_normal,liptint,라카,404오프살몬,183,105,92,40,159,150,#B7695C,2025-11-25 13:45:30
A20251125134530127086,A_normal,liptint,라카,405쏘피치,201,108,113,43,166,143,#C96C71,2025-11-25 13:45:30
A20251125134530141034,A_normal,liptint,라카,406뉴패션,159,67,77,31,168,142,#9F434D,2025-11-25 13:45:30
A20251125134530321633,A_normal,liptint,라카,407칠리락,148,77,68,31,158,147,#944D44,2025-11-25 13:45:30
A20251125134530111271,A_normal,liptint,라카,408베베아몬드,136,92,85,33,146,140,#885C55,2025-11-25 13:45:30
A20251125134530257521,A_normal,liptint,라카,409모브젬,131,83,87,31,149,134,#835357,2025-11-25 13:45:30
A20251125134530246989,A_normal,liptint,라카,410볼드베리,124,64,78,27,156,132,#7C404E,2025-11-25 13:45:30
A20251125134530213036,A_normal,liptint,롬앤,01더스티핑크,168,81,90,35,165,141,#A8515A,2025-11-25 13:45:30
A20251125134530263117,A_normal,liptint,롬앤,02올댓재즈,171,54,46,31,176,161,#AB362E,2025-11-25 13:45:30
A20251125134530264954,A_normal,liptint,롬앤,03실루엣,149,55,55,28,168,150,#953737,2025-11-25 13:45:30
A20251125134530994635,A_normal,liptint,롬앤,04비포선셋,168,63,74,32,173,145,#A83F4A,2025-11-25 13:45:30
A20251125134530202530,A_normal,liptint,롬앤,05이브닝,154,62,51,30,167,155,#9A3E33,2025-11-25 13:45:30
A20251125134530310721,A_normal,liptint,롬앤,06어썸,224,91,85,43,181,159,#E05B55,2025-11-25 13:45:30
A20251125134530293166,A_normal,liptint,롬앤,07엔비미,208,100,101,42,172,149,#D06465,2025-11-25 13:45:30
A20251125134530167027,A_normal,liptint,롬앤,08어도러블,222,88,84,42,181,159,#DE5854,2025-11-25 13:45:30
A20251125134530207500,A_normal,liptint,롬앤,09쉘누드,231,135,118,51,164,154,#E78776,2025-11-25 13:45:30
A20251125134530363851,A_normal,liptint,롬앤,10핑크샌드,203,106,113,43,168,143,#CB6A71,2025-11-25 13:45:30
A20251125134530195431,A_normal,liptint,롬앤,11선라이트,213,32,70,36,196,156,#D52046,2025-11-25 13:45:31
A20251125134531227234,A_normal,liptint,롬앤,12썸띵,217,49,70,37,193,159,#D93146,2025-11-25 13:45:31
A20251125134531160297,A_normal,liptint,롬앤,13레드카펫,162,27,45,27,182,155,#A21B2D,2025-11-25 13:45:31
A20251125134531111451,A_normal,liptint,롬앤,14스윗피,185,50,75,33,183,147,#B9324B,2025-11-25 13:45:31
A20251125134531151934,A_normal,liptint,롬앤,15미드나잇,124,32,44,21,168,145,#7C202C,2025-11-25 13:45:31
A20251125134531330518,A_normal,liptint,롬앤,16대즐레드,212,52,42,37,190,174,#D4342A,2025-11-25 13:45:31
A20251125134531273773,A_normal,liptint,롬앤,17레드히트,186,37,54,32,187,158,#BA2536,2025-11-25 13:45:31
A20251125134531507270,A_normal,liptint,롬앤,18태닝레드,172,42,47,30,181,159,#AC2A2F,2025-11-25 13:45:31
A20251125134531762244,A_normal,liptint,롬앤,19레드서퍼,196,18,58,32,193,157,#C4123A,2025-11-25 13:45:31
A20251125134531961689,A_normal,liptint,롬앤,20레드다이브,145,23,44,24,178,150,#91172C,2025-11-25 13:45:31
A20251125134531241796,A_normal,liptint,롬앤,21스모크드베이지,189,114,101,42,157,148,#BD7265,2025-11-25 13:45:31
A20251125134531295144,A_normal,liptint,롬앤,22모브빈즈,181,106,118,41,160,135,#B56A76,2025-11-25 13:45:31
A20251125134531109897,A_normal,liptint,맥,노포토스,233,70,125,42,194,135,#E9467D,2025-11-25 13:45:31
A20251125134531106590,A_normal,liptint,맥,데인저러스,168,18,18,27,185,172,#A81212,2025-11-25 13:45:31
A20251125134531168166,A_normal,liptint,맥,듀보넷버즈,145,66,60,29,162,148,#91423C,2025-11-25 13:45:31
A20251125134531256454,A_normal,liptint,맥,디보티드투데인저,159,17,21,26,183,168,#9F1115,2025-11-25 13:45:31
A20251125134531240554,A_normal,liptint,맥,디보티드투칠리,159,53,49,29,172,156,#9F3531,2025-11-25 13:45:31
A20251125134531286394,A_normal,liptint,맥,래스팅패션,159,12,16,26,183,170,#9F0C10,2025-11-25 13:45:31
A20251125134531602429,A_normal,liptint,맥,런웨이히트,181,66,65,34,175,155,#B54241,2025-11-25 13:45:31
A20251125134531301244,A_normal,liptint,맥,레이디버그,184,34,37,31,186,167,#B82225,2025-11-25 13:45:31
A20251125134532520921,A_normal,liptint,맥,로컬셀럽,180,50,37,32,180,168,#B43225,2025-11-25 13:45:32
A20251125134532327457,A_normal,liptint,맥,루비우,143,22,26,24,177,161,#8F161A,2025-11-25 13:45:32
A20251125134532236216,A_normal,liptint,맥,루비뉴,143,9,30,23,180,157,#8F091E,2025-11-25 13:45:32
A20251125134532136669,A_normal,liptint,맥,릴렌트리슬리레드,183,26,68,31,189,148,#B71A44,2025-11-25 13:45:32
A20251125134532618651,A_normal,liptint,맥,마라케쉬미어,141,65,47,28,160,155,#8D412F,2025-11-25 13:45:32
A20251125134532179443,A_normal,liptint,맥,만다린오,231,66,77,41,192,161,#E7424D,2025-11-25 13:45:32
A20251125134532333944,A_normal,liptint,맥,멀잇오버,156,72,68,32,164,148,#9C4844,2025-11-25 13:45:32
A20251125134532639344,A_normal,liptint,맥,멀잇오버,154,74,62,32,161,152,#9A4A3E,2025-11-25 13:45:32
A20251125134532116348,A_normal,liptint,맥,버닝러브,149,57,79,29,169,136,#95394F,2025-11-25 13:45:32
A20251125134532208219,A_normal,liptint,맥,브릭쓰루,179,91,88,38,164,147,#B35B58,2025-11-25 13:45:32
A20251125134532156341,A_normal,liptint,맥,비즈니스캐주얼,153,60,48,29,167,156,#993C30,2025-11-25 13:45:32
A20251125134532427056,A_normal,liptint,맥,서트리니스,221,118,139,47,171,136,#DD768B,2025-11-25 13:45:32
A20251125134532105278,A_normal,liptint,맥,설트리무브,188,102,93,40,163,149,#BC665D,2025-11-25 13:45:32
A20251125134532525568,A_normal,liptint,맥,쇼킹레블레이션,122,25,34,20,170,150,#7A1922,2025-11-25 13:45:32
A20251125134532148480,A_normal,liptint,맥,쉬어아웃트레지,214,91,87,42,177,156,#D65B57,2025-11-25 13:45:32
A20251125134532430384,A_normal,liptint,맥,스윗시나몬,196,92,83,40,170,154,#C45C53,2025-11-25 13:45:32
A20251125134532479876,A_normal,liptint,맥,스타일쇼크드,185,46,33,32,183,171,#B92E21,2025-11-25 13:45:32
A20251125134532276502,A_normal,liptint,맥,스테이큐리어스,181,65,67,34,176,153,#B54143,2025-11-25 13:45:32
A20251125134532816696,A_normal,liptint,맥,스테이큐리어스,150,54,61,28,169,146,#96363D,2025-11-25 13:45:32
A20251125134532305342,A_normal,liptint,맥,씨쉬어,206,71,74,38,182,157,#CE474A,2025-11-25 13:45:32
A20251125134532757462,A_normal,liptint,맥,어리틀템드,177,69,84,34,174,143,#B14554,2025-11-25 13:45:32
A20251125134532248816,A_normal,liptint,맥,올파이어드업,200,36,84,34,192,144,#C82454,2025-11-25 13:45:33
A20251125134533300754,A_normal,liptint,맥,웍웍웍,183,30,28,30,187,171,#B71E1C,2025-11-25 13:45:33
A20251125134533311627,A_normal,liptint,맥,유어버긴레이디,222,22,27,36,199,182,#DE161B,2025-11-25 13:45:33
A20251125134533133332,A_normal,liptint,맥,임펄시브,130,67,49,27,154,152,#824331,2025-11-25 13:45:33
A20251125134533324522,A_normal,liptint,맥,진저렐라,195,79,76,38,175,155,#C34F4C,2025-11-25 13:45:33
A20251125134533149328,A_normal,liptint,맥,카인다쏘어타,167,100,104,38,156,138,#A76468,2025-11-25 13:45:33
A20251125134533227876,A_normal,liptint,맥,코크니,187,31,38,31,188,167,#BB1F26,2025-11-25 13:45:33
A20251125134533126195,A_normal,liptint,맥,테디20,180,111,100,41,155,146,#B46F64,2025-11-25 13:45:33
A20251125134533834335,A_normal,liptint,맥,티엔티저,237,47,36,40,198,183,#ED2F24,2025-11-25 13:45:33
A20251125134533149705,A_normal,liptint,맥,폴인러브,230,38,98,39,200,145,#E62662,2025-11-25 13:45:33
A20251125134533261965,A_normal,liptint,맥,프렌다,200,80,91,39,177,148,#C8505B,2025-11-25 13:45:33
A20251125134533283983,A_normal,liptint,맥,피그먼트오브유어이매지네이,214,81,94,41,182,150,#D6515E,2025-11-25 13:45:33
A20251125134533274743,A_normal,liptint,맥,피디에이,138,33,30,24,172,158,#8A211E,2025-11-25 13:45:33
A20251125134533737633,A_normal,liptint,맥,핫파프리카,251,82,62,45,192,177,#FB523E,2025-11-25 13:45:33
A20251125134533254858,A_normal,liptint,맥,허그미,173,99,88,38,158,148,#AD6358,2025-11-25 13:45:33
A20251125134533154585,A_normal,liptint,바닐라코,NEW소프트페일,231,164,154,56,153,144,#E7A49A,2025-11-25 13:45:33
A20251125134533192725,A_normal,liptint,바닐라코,NEW풀스킨,217,181,167,58,140,140,#D9B5A7,2025-11-25 13:45:33
A20251125134533291194,A_normal,liptint,바닐라코,누드로즈,224,176,173,58,146,137,#E0B0AD,2025-11-25 13:45:33
A20251125134533206069,A_normal,liptint,바닐라코,누드베이지,231,187,178,60,143,139,#E7BBB2,2025-11-25 13:45:33
A20251125134533206800,A_normal,liptint,바닐라코,발레리나,244,191,185,62,147,139,#F4BFB9,2025-11-25 13:45:33
A20251125134533681724,A_normal,liptint,바닐라코,살몬누드,225,193,180,61,138,139,#E1C1B4,2025-11-25 13:45:33
A20251125134533149135,A_normal,liptint,바닐라코,소프트살몬,208,143,124,50,152,149,#D08F7C,2025-11-25 13:45:33
A20251125134533331784,A_normal,liptint,바닐라코,소프트핑크,201,137,131,48,153,142,#C98983,2025-11-25 13:45:34
A20251125134534288403,A_normal,liptint,바닐라코,코랄슈,235,177,167,59,149,142,#EBB1A7,2025-11-25 13:45:34
A20251125134534974425,A_normal,liptint,바닐라코,풀그레이,199,168,153,54,138,140,#C7A899,2025-11-25 13:45:34
A20251125134534168118,A_normal,liptint,바닐라코,풀베이지,204,155,132,52,145,148,#CC9B84,2025-11-25 13:45:34
A20251125134534516160,A_normal,liptint,바닐라코,핑크슈,231,180,183,59,147,134,#E7B4B7,2025-11-25 13:45:34
A20251125134534246254,A_normal,liptint,바비브라운,레드스틸레토,167,20,18,27,184,172,#A71412,2025-11-25 13:45:34
A20251125134534593760,A_normal,liptint,바비브라운,루비,145,36,47,25,174,150,#91242F,2025-11-25 13:45:34
A20251125134534728593,A_normal,liptint,바비브라운,볼드허니,141,67,49,29,159,154,#8D4331,2025-11-25 13:45:34
A20251125134534205872,A_normal,liptint,바비브라운,쇼스토퍼,239,59,47,41,196,179,#EF3B2F,2025-11-25 13:45:34
A20251125134534153461,A_normal,liptint,바비브라운,슈퍼노바,173,41,27,30,181,170,#AD291B,2025-11-25 13:45:34
A20251125134534321130,A_normal,liptint,바비브라운,워터멜론,184,24,60,30,189,153,#B8183C,2025-11-25 13:45:34
A20251125134534671741,A_normal,liptint,바비브라운,카바나,188,77,73,36,173,154,#BC4D49,2025-11-25 13:45:34
A20251125134534222928,A_normal,liptint,바비브라운,크랜베리,155,51,58,28,172,149,#9B333A,2025-11-25 13:45:34
A20251125134534229066,A_normal,liptint,바비브라운,클라렛,160,59,50,30,170,157,#A03B32,2025-11-25 13:45:34
A20251125134534288285,A_normal,liptint,바비브라운,트레일블레이저,192,77,83,37,175,150,#C04D53,2025-11-25 13:45:34
A20251125134534210181,A_normal,liptint,바비브라운,파리핑크,221,94,80,43,178,162,#DD5E50,2025-11-25 13:45:34
A20251125134534163821,A_normal,liptint,에뛰드,낫배드07로지토프,183,43,51,32,184,160,#B72B33,2025-11-25 13:45:34
A20251125134534317787,A_normal,liptint,에뛰드,낫배드08뮤티드브라운,122,49,51,24,161,144,#7A3133,2025-11-25 13:45:34
A20251125134534572878,A_normal,liptint,에뛰드,01로즈베리,211,59,86,38,189,150,#D33B56,2025-11-25 13:45:34
A20251125134534113106,A_normal,liptint,에뛰드,02포에버루비,225,84,93,42,184,154,#E1545D,2025-11-25 13:45:34
A20251125134534266580,A_normal,liptint,에뛰드,03젤러스레드,217,92,101,42,179,149,#D95C65,2025-11-25 13:45:34
A20251125134534228095,A_normal,liptint,에뛰드,04핑크위시,219,116,122,46,169,144,#DB747A,2025-11-25 13:45:34
A20251125134534134362,A_normal,liptint,에뛰드,05허니베이지,202,94,95,41,172,149,#CA5E5F,2025-11-25 13:45:35
A20251125134535237554,A_normal,liptint,에뛰드,06트와일라잇모브,193,85,106,39,174,139,#C1556A,2025-11-25 13:45:35
A20251125134535220951,A_normal,liptint,에스쁘아,디즈니13호비트라일락,191,13,59,31,193,155,#BF0D3B,2025-11-25 13:45:35
A20251125134535117637,A_normal,liptint,에스쁘아,디즈니14호스웨이코랄,222,69,75,40,188,161,#DE454B,2025-11-25 13:45:35
A20251125134535270723,A_normal,liptint,에스쁘아,메리베리에디션2호베리코어,254,6,33,41,208,187,#FE0621,2025-11-25 13:45:35
A20251125134535172671,A_normal,liptint,에스쁘아,메리베리에디션18호누디베리,180,91,80,38,164,152,#B45B50,2025-11-25 13:45:35
A20251125134535249431,A_normal,liptint,에스쁘아,메리베리에디션19호메리베리,150,48,67,27,172,141,#963043,2025-11-25 13:45:35
A20251125134535250326,A_normal,liptint,에스쁘아,1호포그모브,204,76,99,39,181,143,#CC4C63,2025-11-25 13:45:35
A20251125134535311709,A_normal,liptint,에스쁘아,2호베리코어,254,6,33,41,208,187,#FE0621,2025-11-25 13:45:35
A20251125134535274314,A_normal,liptint,에스쁘아,2호카인다핑크,226,115,136,47,174,138,#E27388,2025-11-25 13:45:35
A20251125134535551979,A_normal,liptint,에스쁘아,3호크랜베리,199,3,43,32,195,166,#C7032B,2025-11-25 13:45:35
A20251125134535305641,A_normal,liptint,에스쁘아,3호푸시안,243,47,112,42,202,142,#F32F70,2025-11-25 13:45:35
A20251125134535183200,A_normal,liptint,에스쁘아,4호레디셋고,229,28,56,38,200,169,#E51C38,2025-11-25 13:45:35
A20251125134535659220,A_normal,liptint,에스쁘아,4호헤이베스티,253,90,150,47,194,131,#FD5A96,2025-11-25 13:45:35
A20251125134535291830,A_normal,liptint,에스쁘아,5호로지퍼지,209,110,113,44,168,145,#D16E71,2025-11-25 13:45:35
A20251125134535190190,A_normal,liptint,에스쁘아,5호블루베리,196,83,121,39,177,130,#C45379,2025-11-25 13:45:35
A20251125134535145200,A_normal,liptint,에스쁘아,6호뉴로즈,243,123,144,50,176,139,#F37B90,2025-11-25 13:45:35
A20251125134535222918,A_normal,liptint,에스쁘아,6호코랄커드,249,83,96,45,192,158,#F95360,2025-11-25 13:45:35
A20251125134535234443,A_normal,liptint,에스쁘아,7호애쉬메이플,205,95,88,41,172,154,#CD5F58,2025-11-25 13:45:35
A20251125134535255861,A_normal,liptint,에스쁘아,7호탠지버터,240,119,85,49,174,169,#F07755,2025-11-25 13:45:35
A20251125134535146495,A_normal,liptint,에스쁘아,8호애쉬코코아,136,66,59,28,158,147,#88423B,2025-11-25 13:45:35
A20251125134535314814,A_normal,liptint,에스쁘아,9호퍼시몬,216,29,34,36,196,177,#D81D22,2025-11-25 13:45:36
A20251125134536430754,A_normal,liptint,에스쁘아,10호피치라이즈,210,100,105,43,173,147,#D26469,2025-11-25 13:45:36
A20251125134536218808,A_normal,liptint,에스쁘아,11호그레이피,190,31,73,32,190,147,#BE1F49,2025-11-25 13:45:36
A20251125134536312736,A_normal,liptint,에스쁘아,15호피치듀,233,119,116,48,173,151,#E97774,2025-11-25 13:45:36
A20251125134536115655,A_normal,liptint,에스쁘아,16호피치바이브,234,70,86,42,192,158,#EA4656,2025-11-25 13:45:36
A20251125134536270119,A_normal,liptint,웨이크메이크,재입고13볼드누드,161,150,149,48,132,130,#A19695,2025-11-25 13:45:36
A20251125134536872972,A_normal,liptint,웨이크메이크,재입고14와일드토프,151,141,141,45,132,129,#978D8D,2025-11-25 13:45:36
A20251125134536795551,A_normal,liptint,웨이크메이크,01러브피버,234,224,224,68,132,129,#EAE0E0,2025-11-25 13:45:36
A20251125134536400334,A_normal,liptint,웨이크메이크,01피치샤워,234,212,210,66,136,132,#EAD4D2,2025-11-25 13:45:36
A20251125134536185218,A_normal,liptint,웨이크메이크,02밀크애프리콧,238,226,225,69,132,130,#EEE2E1,2025-11-25 13:45:36
A20251125134536118884,A_normal,liptint,웨이크메이크,02스윗챗,239,212,212,66,138,132,#EFD4D4,2025-11-25 13:45:36
A20251125134536205337,A_normal,liptint,웨이크메이크,03샤이유스,236,221,221,68,133,130,#ECDDDD,2025-11-25 13:45:36
A20251125134536142082,A_normal,liptint,웨이크메이크,03애플피즈,229,199,199,63,139,132,#E5C7C7,2025-11-25 13:45:36
A20251125134536154413,A_normal,liptint,웨이크메이크,04아몬드누드,229,208,203,65,135,133,#E5D0CB,2025-11-25 13:45:36
A20251125134536102023,A_normal,liptint,웨이크메이크,04피치베베,237,221,220,68,134,131,#EDDDDC,2025-11-25 13:45:36
A20251125134536150791,A_normal,liptint,웨이크메이크,05로지냅,229,201,201,63,138,132,#E5C9C9,2025-11-25 13:45:36
A20251125134536179556,A_normal,liptint,웨이크메이크,05블러쉬드핑크,236,220,223,68,134,129,#ECDCDF,2025-11-25 13:45:36
A20251125134536307381,A_normal,liptint,웨이크메이크,06니트,235,220,222,68,134,129,#EBDCDE,2025-11-25 13:45:36
A20251125134536119472,A_normal,liptint,웨이크메이크,06무디핑크,241,212,219,66,139,128,#F1D4DB,2025-11-25 13:45:36
A20251125134536100653,A_normal,liptint,웨이크메이크,07베리플러쉬,243,212,217,67,140,130,#F3D4D9,2025-11-25 13:45:37
A20251125134537253488,A_normal,liptint,웨이크메이크,07허쉬모브,231,219,220,67,132,129,#E7DBDC,2025-11-25 13:45:37
A20251125134537683948,A_normal,liptint,웨이크메이크,08메이플코랄,232,219,218,67,132,130,#E8DBDA,2025-11-25 13:45:37
A20251125134537271670,A_normal,liptint,웨이크메이크,08프레시핑크,240,202,212,64,143,128,#F0CAD4,2025-11-25 13:45:37
A20251125134537737051,A_normal,liptint,웨이크메이크,09모브브리스,232,207,212,65,138,129,#E8CFD4,2025-11-25 13:45:37
A20251125134537941756,A_normal,liptint,웨이크메이크,09힙베리,231,214,217,66,134,129,#E7D6D9,2025-11-25 13:45:37
A20251125134537516255,A_normal,liptint,웨이크메이크,10클리어레드,231,216,216,66,133,130,#E7D8D8,2025-11-25 13:45:37
A20251125134537971452,A_normal,liptint,웨이크메이크,10피그레드,228,197,204,63,140,129,#E4C5CC,2025-11-25 13:45:37
A20251125134537170667,A_normal,liptint,웨이크메이크,11로즈뱅,233,217,216,67,134,131,#E9D9D8,2025-11-25 13:45:37
A20251125134537136411,A_normal,liptint,웨이크메이크,11써니코랄,235,223,222,68,132,130,#EBDFDE,2025-11-25 13:45:37
A20251125134537153054,A_normal,liptint,입큰,01미닝피치,207,123,109,46,160,150,#CF7B6D,2025-11-25 13:45:37
